Number,Alias,Interests,IVIS,Stats,Math,Art,Comp,Prog,Graphics,HCI,UX
1,Aldor,"Visual design, Filmmaking",7,3,3,9,6,2,1,4,8
2,Aragorn,"Aviation, Cooking, Physical activity, Art",5,4,3,6,7,3,1,4,8
3,Arwen,"None",3,3,3,3,8,8,3,3,3
4,Balin,"Graphic design, 3D modeling",3,4,4,6,8,2,1,2,7
5,Bereg,"Science, sports, fashion, travel",3,5,6,8,6,3,5,3,5
6,Bifur,"Graphic illustration, Hackatons, Technology",4,4,5,6,10,7,7,6,7
7,Bilbo,"JavaScript, Design process, Typography.",6,5,8,7,8,7,7,7,8
8,Bofur,"None",4,4,6,5,7,7,3,3,2
9,Bombadil,"travel, sports, running, yoga, cycling, photography, coffee, gender equality, diversity, education, human rights",4,6,6,2,6,5,1,5,8
10,Bombur,"Football, Painting, Illustrating, Programming",1,4,5,10,7,4,2,3,6
11,Borin,"Reading, music, arts, bikes, travel, technology, programming, humor.",2,4,2,6,6,2,1,4,10
12,Boromir,"Web Development, Competitive Programming, Data Science (Machine learning)",3,5,5,1,7,8,2,6,5
13,Bounder,"Arts and culture, education, science and technology",3,9,9,3,10,10,3,3,9
14,Celeborn,"Digital democracy, digital literacy, accessibility, usability, TV-shows, travelling, cooking food",7,6,5,6,8,4,1,6,7
15,Damrod,"None",3,2,5,6,7,1,2,3,8
16,Deagol,"Reading, magic(illusions), training, nature",1,3,3,5,8,5,1,1,2
17,Denethor,"None",7,8,6,2,8,9,6,3,6
18,Dorlas,"None",4,4,4,6,5,4,1,5,6
19,Dwalin,"Music, dance, traveling, and more",3,3,6,7,7,6,1,5,5
20,Eldarion,"Play music, watch sports",3,4,9,8,8,3,2,8,9
21,Elendil,"Code, illustrations, 3D-models,Books, games, movies",5,3,5,6,7,7,4,6,5
22,Elendur,"None",3,10,8,1,6,9,4,3,3
24,Eomer,"Art, music, machine learning",7,9,7,3,9,8,7,6,1
25,Eothain,"Music, programming, computer graphics, old console video games",5,5,7,4,9,9,8,4,3
26,Eowyn,"Photography, Traveling",2,4,4,4,4,2,6,4,4
27,Faramir,"Sketching, Hacking stuff, Cooking",5,4,8,7,9,8,5,6,6
28,Ferny,"Graphic design, photography, bartending",5,2,3,4,8,5,3,4,1
29,Fili,"Programming, android application development",5,5,5,4,5,5,4,5,5
30,Freda,"Startups, arts, photography",3,3,9,7,7,2,2,3,8
31,Frodo,"Graphics, climbing",3,3,4,4,6,5,3,4,3
32,Galadriel,"Programming, design, technology, basketball, equestrian sports",7,5,6,7,9,8,7,8,5
33,Gamgee,"Computer games",2,4,6,2,7,6,2,4,3
34,Gandalf,"None",4,6,8,1,9,8,6,5,5
35,Gimli,"Diving, wildlife and painting",3,3,4,9,7,1,1,1,1
36,Gollum,"Everything,Technology,Society, Coding, Music, Cooking",4,2,2,4,9,1,1,1,6
37,Gorbag,"Programming, Video games, movies, tv-series, books, baking",5,2,5,5,9,7,3,6,3
38,Grimbold,"Cooking, eating, Beer",4,4,7,5,9,6,1,1,4
39,Grishnakh,"Machine Learning, beer",5,8,6,2,7,8,5,4,3
40,Haldir,"Kitesurfing, Freediving, Surfing, Skiing, Product Development ",3,3,4,7,8,2,1,2,2
