Country,Happiness,Life satisfaction,Meaning of life,Friends importance,Family importance,Emph. on family,Proud parents,Nb of children,% Housewife,Housewife as fulfilling as work,Work importance,Financial satisfaction,Income/person,% Poverty,Life expectancy,Wave
Argentina,01.06,7.49,2.67,3.39,3.87,,0.84,1.79,,0.18,3.38,6.52,21246.50,1.57,76.3,2010-2014
Australia,1.20,7.2,3.11,3.42,3.90,,0.62,1.66,4.8,0.48,2.98,6.32,52904.25,,82.3,2010-2014
Chile,0.93,7.27,03.02,03.09,3.90,,0.98,1.92,17.6,-0.19,3.37,6,26027.00,0.83,79.2,2010-2014
China,0.85,6.85,2.36,3.33,3.82,,0.35,1.44,7.5,0.42,03.06,6.19,13783.75,7.73,75.9,2010-2014
Taiwan,01.06,6.9,2.91,3.31,3.89,,0.91,1.68,12.8,0.68,3.45,6.39,41376.00,,79.4,2010-2014
Colombia,1.39,8.39,3.37,2.99,3.84,,1.25,1.95,15.7,0.13,3.73,6.7,14561.50,5.58,77.8,2010-2014
Georgia,0.56,5.45,3.71,3.71,3.98,,1.35,1.58,13.2,0.12,3.57,04.01,8281.25,16.08,72.6,2010-2014
Germany,0.91,7.36,2.87,3.44,3.73,,0.59,1.4,4.7,0.19,3.15,6.62,53000.50,0.34,80.7,2010-2014
India,1.11,6.52,2.61,3.24,3.93,,1.47,2.56,30.9,0.50,3.66,5.94,6277.50,28.15,66.9,2010-2014
Iraq,0.43,5.91,2.93,3.33,3.92,,1.53,2.62,36.2,0.75,3.54,5.85,17377.25,3.91,67.7,2010-2014
Japan,01.07,6.91,2.88,3.32,3.85,,0.44,1.57,15.7,0.71,3.24,06.04,43739.25,,83.1,2010-2014
Jordan,0.88,6.61,3.35,3.40,3.96,,1.77,3.28,41.3,01.08,3.45,5.33,14197.25,0.08,78.4,2010-2014
South Korea,0.95,6.51,3.24,3.43,3.90,,0.91,1.58,14.2,-0.07,3.46,5.69,39995.25,,80.9,2010-2014
Mexico,1.56,8.51,3.29,03.12,3.97,,1.37,2.26,27.00,0.28,3.81,7,20127.25,0.88,75.6,2010-2014
Moldova,,,,,,,,,,,,,5387.75,0.33,73.6,2010-2014
Morocco,0.72,5.94,3.24,03.08,3.89,,1.62,1.78,5.2,0.51,3.74,5.57,8487.00,,74.4,2010-2014
New Zealand,1.20,7.65,03.03,3.44,3.88,,0.22,2.15,6.2,0.54,3.00,6.88,40952.75,,81.4,2010-2014
Nigeria,1.21,6.25,3.48,3.56,3.98,,1.73,1.83,12.4,0.10,3.67,5.69,6663.00,62.03,63.7,2010-2014
Peru,0.87,7.14,03.06,2.75,3.85,,1.27,02.01,16,0.24,3.60,06.03,13541.50,2.86,79.3,2010-2014
Philippines,1.27,7.33,3.49,3.19,3.99,,1.57,2.84,17.5,0.92,3.88,6.34,7566.00,18.96,70.7,2010-2014
Poland,1.9,07.09,2.86,3.30,3.89,,0.85,1.64,3.2,-0.12,3.44,5.71,28374.25,,77.4,2010-2014
Romania,0.48,6.69,3.31,2.94,3.91,,0.95,1.49,15.8,-0.44,3.42,5.84,22126.00,,75.1,2010-2014
Russia,0.64,6.17,2.86,3.10,3.82,,0.73,1.27,4.9,01.07,3.12,4.87,28596.75,,70.9,2010-2014
Slovenia,0.85,7.35,2.89,3.36,3.86,,0.64,1.51,2.4,-0.01,3.25,06.06,28059.00,0.01,80.8,2010-2014
South Africa,0.87,6.63,2.95,3.22,3.90,,1.31,1.48,7.2,0.14,3.23,6.13,12446.00,9.42,61.2,2010-2014
Spain,0.88,6.79,2.74,3.45,3.90,,0.91,1.43,13.2,0.01,3.38,5.56,32270.00,2.34,82.5,2010-2014
Sweden,1.29,7.55,2.89,3.64,3.88,,0.34,1.44,0.3,-0.16,3.38,6.94,44029.00,,82.1,2010-2014
Turkey,01.02,7.24,3.16,3.54,3.95,,1.54,1.84,34.6,0.65,3.23,6.17,18884.00,0.34,79.1,2010-2014
Ukraine,0.53,5.9,03.05,3.28,3.91,,0.90,1.33,4.2,1.26,3.22,4.54,8267.00,,71.3,2010-2014
Egypt,-0.87,4.85,3.29,3.41,3.97,,1.71,1.37,37.4,1.11,3.35,4.86,13362.50,,71.3,2010-2014
United States,1.14,7.37,03.08,3.44,3.88,,0.75,1.69,6.8,0.70,03.08,6.15,52118.00,1.67,79.1,2010-2014
Uruguay,01.05,7.6,2.91,3.30,3.86,,0.61,1.86,8.4,0.24,3.47,6.64,19929.00,0.25,76.6,2010-2014
Serbia,,,,,,,,,,,,,12717.00,0.05,75.9,2010-2014
Montenegro,,,,,,,,,,,,,17491.00,0.21,77.1,2010-2014
